City,County
ISLAND CITY,OWSLEY
ISOM,LETCHER
ISONVILLE,ELLIOTT
IVEL,FLOYD
JACKHORN,LETCHER
JACKSON,BREATHITT
JAMESTOWN,RUSSELL
JEFF,PERRY
JEFFERSONVILLE,MONTGOMERY
JENKINS,LETCHER
JEREMIAH,LETCHER
JETSON,BUTLER
JONESVILLE,GRANT
JUNCTION CITY,BOYLE
KEATON,JOHNSON
KEAVY,LAUREL
KETTLE ISLAND,BELL
KEVIL,MCCRACKEN
KIMPER,PIKE
KINGS MOUNTAIN,LINCOLN
KIRKSEY,CALLOWAY
KITE,KNOTT
KNIFLEY,ADAIR
KNOB LICK,METCALFE
KRYPTON,PERRY
KUTTAWA,LYON
LA CENTER,BALLARD
LA FAYETTE,CHRISTIAN
LA GRANGE,OLDHAM
LACKEY,FLOYD
LANCASTER,GARRARD
LANGLEY,FLOYD
LATONIA,KENTON
LAWRENCEBURG,ANDERSON
LEBANON,MARION
LEBANON JUNCTION,BULLITT
LEBURN,KNOTT
LEDBETTER,LIVINGSTON
LEITCHFIELD,GRAYSON
LETCHER,LETCHER
LEWISBURG,LOGAN
LEWISPORT,HANCOCK
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LEXINGTON,FAYETTE
LIBERTY,CASEY
LICK CREEK,PIKE
LILY,LAUREL
LINEFORK,LETCHER
LITTCARR,KNOTT
LIVERMORE,MCLEAN
LIVINGSTON,ROCKCASTLE
LOCKPORT,HENRY
LONDON,LAUREL
LONDON,LAUREL
LORETTO,MARION
LOST CREEK,BREATHITT
LOUISA,LAWRENCE
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOUISVILLE,JEFFERSON
LOVELY,MARTIN
LOWMANSVILLE,LAWRENCE
LUCAS,BARREN
MACEO,DAVIESS
MACKVILLE,WASHINGTON
MADISONVILLE,HOPKINS
MAGNOLIA,LARUE
MAJESTIC,PIKE
MALLIE,KNOTT
MAMMOTH CAVE,EDMONSON
MANCHESTER,CLAY
MANITOU,HOPKINS
MARION,CRITTENDEN
MARTHA,LAWRENCE
MARTIN,FLOYD
MARY ALICE,HARLAN
MAYFIELD,GRAVES
MAYKING,LETCHER
MAYSLICK,MASON
MAYSVILLE,MASON
MAZIE,LAWRENCE
MC ANDREWS,PIKE
MC CARR,PIKE
MC DANIELS,BRECKINRIDGE
MC DOWELL,FLOYD
MC HENRY,OHIO
MC KEE,JACKSON
MC ROBERTS,LETCHER
MEALLY,JOHNSON
MEANS,MENIFEE
MELBER,GRAVES
MELBOURNE,CAMPBELL
MELVIN,FLOYD
MIDDLEBURG,CASEY
MIDDLESBORO,BELL
MIDWAY,WOODFORD
MILLSTONE,LETCHER
MILLWOOD,GRAYSON
MILTON,TRIMBLE
MINNIE,FLOYD
MIRACLE,BELL
MISTLETOE,OWSLEY
MIZE,MORGAN
MONTICELLO,WAYNE
MOOREFIELD,NICHOLAS
MOREHEAD,ROWAN
MORGANFIELD,UNION
MORGANTOWN,BUTLER
MORNING VIEW,KENTON
MOUNT EDEN,SPENCER
MOUNT HERMON,MONROE
MOUNT OLIVET,ROBERTSON
MOUNT SHERMAN,LARUE
MOUNT STERLING,MONTGOMERY
MOUNT VERNON,ROCKCASTLE
MOUNT WASHINGTON 40047,BULLITT
MOUSIE,KNOTT
MOUTHCARD,PIKE
MOZELLE,LESLIE
MULDRAUGH,MEADE
MUNFORDVILLE,HART
MURRAY,CALLOWAY
NANCY,PULASKI
NEBO,HOPKINS
NEON,LETCHER
NEW CASTLE,HENRY
NEW CONCORD,CALLOWAY
NEW HAVEN,NELSON
NEW HOPE,NELSON
NEW LIBERTY,OWEN
NEWPORT,CAMPBELL
NEWPORT,CAMPBELL
NICHOLASVILLE,JESSAMINE
NORTONVILLE,HOPKINS
OAK GROVE,CHRISTIAN
OAKLAND,WARREN
OIL SPRINGS,JOHNSON
OLATON,OHIO
OLIVE HILL,CARTER
OLMSTEAD,LOGAN
OLYMPIA,BATH
ONEIDA,CLAY
ORLANDO,ROCKCASTLE
OWENSBORO,DAVIESS
OWENSBORO,DAVIESS
OWENTON,OWEN
OWINGSVILLE,BATH
PADUCAH,MCCRACKEN
PADUCAH,MCCRACKEN
PAINT LICK,GARRARD
PAINTSVILLE,JOHNSON
PARIS,BOURBON
PARK CITY,BARREN
PARKERS LAKE,MCCREARY
PARKSVILLE,BOYLE
PARTRIDGE,LETCHER
PATHFORK,HARLAN
PAYNEVILLE,MEADE
PEMBROKE,CHRISTIAN
PENDLETON,HENRY
PERRYVILLE,BOYLE
PETERSBURG,BOONE
PEWEE VALLEY,OLDHAM
PHELPS,PIKE
PHILPOT,DAVIESS
PHYLLIS,PIKE
PIKEVILLE,PIKE
PILGRIM,MARTIN
PINE KNOT,MCCREARY
PINE RIDGE,WOLFE
PINE TOP,KNOTT
PINEVILLE,BELL
PINSONFORK,PIKE
PIPPA PASSES,KNOTT
PLEASUREVILLE,HENRY
POWDERLY,MUHLENBERG
PREMIUM,LETCHER
PRESTONSBURG,FLOYD
PRINCETON,CALDWELL
PRINTER,FLOYD
PROSPECT,JEFFERSON
PROVIDENCE,WEBSTER
PUTNEY,HARLAN
QUINCY,LEWIS
RACCOON,PIKE
RADCLIFF,HARDIN
RANSOM,PIKE
RAVEN,KNOTT
RAVENNA,ESTILL
RAYWICK,MARION
REDFOX,KNOTT
REED,HENDERSON
REGINA,PIKE
REVELO,MCCREARY
REYNOLDS STATION,OHIO
RHODELIA,MEADE
RICETOWN,OWSLEY
RICHMOND,MADISON
RINEYVILLE,HARDIN
RIVER,JOHNSON
ROARK,LESLIE
ROBARDS,HENDERSON
ROBINSON CREEK,PIKE
ROCHESTER,BUTLER
ROCKFIELD,WARREN
ROCKHOLDS,WHITLEY
ROCKPORT,OHIO
ROCKY HILL,EDMONSON
ROGERS,WOLFE
ROUNDHILL,EDMONSON
ROUSSEAU,BREATHITT
ROWDY,PERRY
ROXANA,LETCHER
ROYALTON,MAGOFFIN
RUMSEY,MCLEAN
RUSH,BOYD
RUSSELL,GREENUP
RUSSELL SPRINGS,RUSSELL
RUSSELLVILLE,LOGAN
SACRAMENTO,MCLEAN
SADIEVILLE,SCOTT
SAINT CHARLES,HOPKINS
SAINT FRANCIS,MARION
SALEM,LIVINGSTON
SALT LICK,BATH
SALVISA,MERCER
SALYERSVILLE,MAGOFFIN
SANDERS,CARROLL
SANDGAP,JACKSON
SANDY HOOK,ELLIOTT
SASSAFRAS,KNOTT
SCALF,KNOX
SCIENCE HILL,PULASKI
SCOTTSVILLE,ALLEN
SCUDDY,PERRY
SEBREE,WEBSTER
SEDALIA,GRAVES
SEXTONS CREEK,CLAY
SHARON GROVE,TODD
SHARPSBURG,BATH
SHELBIANA,PIKE
SHELBY GAP,PIKE
SHELBYVILLE,SHELBY
SHEPHERDSVILLE,BULLITT
SIDNEY,PIKE
SILER,WHITLEY
SIMPSONVILLE,SHELBY
SITKA,JOHNSON
SIZEROCK,LESLIE
SLADE,POWELL
SLAUGHTERS,WEBSTER
SLEMP,PERRY
SMILAX,LESLIE
SMITHFIELD,HENRY
SMITHLAND,LIVINGSTON
SMITHS GROVE,WARREN
SOMERSET,PULASKI
SOMERSET,PULASKI
SONORA,HARDIN
SOUTH PORTSMOUTH,GREENUP
SOUTH SHORE,GREENUP
SOUTH WILLIAMSON,PIKE
SPARTA,GALLATIN
SPOTTSVILLE,HENDERSON
SPRINGFIELD,WASHINGTON
STAFFORDSVILLE,JOHNSON
STAMBAUGH,JOHNSON
STAMPING GROUND,SCOTT
STANFORD,LINCOLN
STANTON,POWELL
STANVILLE,FLOYD
STEARNS,MCCREARY
STEELE,PIKE
